name,schema,description
103年來臺旅客消費及動向調查.csv,103年來臺旅客消費及動向調查c.csv,來臺旅客消費及動向調查
104年來臺旅客消費及動向調查(原始資料).csv,104年來臺旅客消費及動向調查(原始資料)c.csv,來臺旅客消費及動向調查
105年來臺旅客消費及動向調查(原始資料).csv,105年來臺旅客消費及動向調查(原始資料)c.csv,來臺旅客消費及動向調查
106年來臺旅客消費及動向調查_原始資料_1內容.csv,106年來臺旅客消費及動向調查_原始資料_1內容c.csv,來臺旅客消費及動向調查_原始資料_1內容
106年來臺旅客消費及動向調查_原始資料_2基本資料.csv,106年來臺旅客消費及動向調查_原始資料_2基本資料c.csv,106年來臺旅客消費及動向調查_原始資料_2基本資料
107年來臺旅客消費及動向調查_原始資料.csv,107年來臺旅客消費及動向調查_原始資料c.csv,107年來臺旅客消費及動向調查_原始資料
108年來臺旅客消費及動向調查_原始資料.csv,108年來臺旅客消費及動向調查_原始資料c.csv,108年來臺旅客消費及動向調查_原始資料
109年來臺旅客消費及動向調查_原始資料.csv,109年來臺旅客消費及動向調查_原始資料c.csv,109年來臺旅客消費及動向調查_原始資料
110年來臺旅客消費及動向調查_原始資料.csv,110年來臺旅客消費及動向調查_原始資料c.csv,110年來臺旅客消費及動向調查_原始資料
112年來臺旅客消費及動向調查_原始資料.csv,112年來臺旅客消費及動向調查_原始資料c.csv,112年來臺旅客消費及動向調查_原始資料
113年來臺旅客消費及動向調查_原始資料.csv,113年來臺旅客消費及動向調查_原始資料c.csv,113年來臺旅客消費及動向調查_原始資料
